이름,시가총액
삼성전자,"11,046,044"
SK하이닉스,"6,628,132"
삼성전자우,"1,069,743"
현대차,"994,611"
LG에너지솔루션,"833,040"
SK스퀘어,"735,725"
삼성바이오로직스,"705,937"
한화에어로스페이스,"659,496"
두산에너빌리티,"645,045"
기아,"631,688"
KB금융,"541,379"
HD현대중공업,"530,054"
삼성물산,"466,586"
삼성생명,"435,000"
셀트리온,"434,602"
신한지주,"426,240"
한화오션,"365,245"
현대모비스,"344,784"
미래에셋증권,"343,741"
NAVER,"327,822"
HD현대일렉트릭,"325,866"
삼성전기,"319,316"
고려아연,"308,085"
삼성SDI,"303,405"
하나금융지주,"294,747"
한국전력,"292,736"
한미반도체,"283,554"
POSCO홀딩스,"263,032"
HD한국조선해양,"259,030"
LS ELECTRIC,"247,200"
효성중공업,"242,531"
SK,"238,534"
한화시스템,"233,693"
우리금융지주,"232,702"
삼성중공업,"229,680"
삼성화재,"209,581"
카카오,"207,879"
LG화학,"204,718"
HD현대,"189,583"
HMM,"186,950"
현대로템,"183,796"
기업은행,"183,408"
LG전자,"178,361"
SK이노베이션,"178,351"
메리츠금융지주,"177,113"
KT&G,"173,620"
두산,"173,112"
현대건설,"171,377"
KODEX 200,"171,161"
포스코퓨처엠,"165,707"
